Model,Group,Average_MAE,Average_RMSE,Average_MAPE
Prophet,Content category,3.8546315403836973,4.648376696515592,16.480727191771734
TFT,Content category,4.198476136778737,5.183383613374542,22.878692365124188
ARIMA,Content category,4.244045464841911,5.172139068555731,16.659175063479893
LSTM,Content category,7.7286994161596,8.861967420244138,39.358680542226296
LSTM,Platform,2.423269187487089,2.9582882108031847,11.971890408694014
ARIMA,Platform,3.107623684610561,3.729882489735451,11.254346806283369
Prophet,Platform,3.80742109298672,4.549044676166919,11.838703146497704
TFT,Platform,4.874320356662457,5.567268379286226,14.779155632255106
